pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
6178245,2,9,1,1,2,1,2,0,0,0,0,1,9,0,75000,75000
9752065,2,9,1,1,2,2,2,4,6,2,1,1,9,7,50000,50000
8194344,2,9,2,1,2,2,2,0,50,10,0,2,9,0,0,0
1775061,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
4193599,2,9,1,1,2,2,2,1,0,1,0,1,9,0,0,0
5067424,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
4067161,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7432135,2,9,1,1,1,2,2,8,0,8,0,1,9,11,25000,25000
6474445,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
7084662,2,9,2,1,1,1,1,42,0,30,12,1,9,12,75000,75000
2549731,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
5370660,0,9,1,2,2,2,2,0,0,0,0,9,1,0,0,0
7588819,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5338313,2,9,2,1,2,2,2,0,0,0,0,1,9,0,50000,50000
6084241,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
7653251,2,9,1,1,2,2,2,0,0,0,0,1,9,0,0,0
7270316,2,9,1,1,1,2,2,0,0,5,0,1,9,6,25000,25000
8474818,2,9,1,1,1,2,2,10,8,12,4,1,9,10,0,0
6124249,2,9,2,1,2,1,2,0,0,5,0,1,9,0,75000,75000
7008491,2,9,2,1,1,2,2,0,0,5,0,1,9,0,0,0
1227032,2,9,2,1,1,2,2,23,1,5,1,1,9,0,50000,50000
8464042,2,9,2,2,2,2,2,0,0,5,0,1,9,4,0,0
9616085,2,9,1,1,1,1,1,36,1,23,1,1,9,0,60000,60000
9874529,2,9,2,1,2,1,2,20,15,20,5,1,9,8,75000,75000
7676214,2,9,1,1,2,2,2,48,0,8,0,2,9,0,25000,25000
